email ,latitude,longtitide,country,city,address,medicalSpeciality ,fullName ,phoneNumber ,languagesSpoken,picture ,averageRate ,numberOfRating ,year,month,day,time,officeHours1,officeHours2,officeHours3,officeHours4
Lacour@speedy.com.ar,-41.134258,-71.308525,Argentina,Bariloche,"Av. Libertador 736 Bariloche, Argentina",Otolaryngology,Doctor Fernando Lacour,1345 4567,Spanish,../static/doctor2.png,4.8,1445,2019,11,15,23:40:00,"Sunday:	2 pm to 7 pm ","Tuesday:	1 pm to 5 pm ","Wednesday:	2 pm to 7 pm","Friday:	1 pm to 5 pm"
acordero@speedy.com.ar,-34.920345,-57.969559,Argentina,Buenos Aires,"Av. Scalabrini Ortiz 2089 Buenos Aires, Argentina",Dentist,Doctor Alejandro Cordero,4815 1198,"English, Spanish",../static/doctor1.png,4.2,2237,2020,10,10,10:10:00,"Sunday:	1 pm to 4 pm ","Monday:	1 pm to 4 pm ","Wednesday:	1 pm to 6 pm","Thursday:	1 pm to 4 pm"
robertoDoc@gmail.com,25.793449,-80.191788,Florida,Miami,"720 Rugby St # 100, Miami, FL 32804, Florida",Family,Doctor Roberto Kali,1373 5922,"English, Spanish",../static/doctor5.png,4.9,1811,2020,12,11,13:10:00,"Sunday:	3 pm to 6 pm ","Monday:	1 pm to 4 pm ","Tuesday:	2 pm to 7 pm","Wednesday:	1 pm to 5 pm"
danDoc@gmail.com,32.166313,34.843311,Israel,Tel Aviv,"st Hanadiv 6 Tel Aviv, Israel",Orthopedic,Doctor Dan Cohen,1345 5434,"Hebrew, English",../static/doctor3.png,4.5,2961,2020,10,25,10:10:00,"Monday:	1 pm to 5 pm ","Wednesday:	4 pm to 7 pm ","Thursday:	5 pm to 8 pm","Friday:	2 pm to 6 pm"
SemanthaDoc@gmail.com,28.5383355,-81.3792365,Florida,Orlando,"3808 E Colonial Dr, Orlando, FL 32803, Florida",Eyes,Doctor Rachel Timgy,9994 5545,"English, Spanish",../static/doctor6.png,4.7,4672,2020,11,27,04:40:00,"Sunday:	1 pm to 6 pm ","Monday:	1 pm to 4 pm ","Wednesday:	1 pm to 6 pm","Thursday:	1 pm to 4 pm"
arielDoc@gmail.com,32.794044,34.989571,Israel,Haifa,"st Arlozorov 11 Haifa, Israel",Family,Doctor Ariel Uzon,2311 9488,"Hebrew, English",../static/doctor4.png,4.6,3603,2020,12,19,18:10:00,"Sunday:	2 pm to 7 pm ","Tuesday:	1 pm to 5 pm ","Wednesday:	2 pm to 7 pm","Friday:	1 pm to 4 pm"
RachelDoc@gmail.com,32.0823,34.8107,Israel,Ramat Gan ,"st Moshe Sharet 23 Ramat Gan, Israel",Gynecologist,Doctor Rachel Levi,3664 9874,"Hebrew, English, Spanish",../static/doctor7.png,3.9,5332,2021,11,11,19:13:02,"Monday:	1 pm to 5 pm ","Wednesday:	4 pm to 7 pm ","Thursday:	5 pm to 8 pm","Friday:	2 pm to 6 pm"
b@gmail.com,28.5383355,-81.3792365,Florida,Orlando,"3808 E Colonial Dr, Orlando, FL 32803, Florida",Eyes,Doctor Fernando Lacour,9994 5545,"English, Spanish",../static/doctor2.png,4.7,4672,2020,11,27,04:40:00,"Sunday:	1 pm to 6 pm ","Monday:	1 pm to 4 pm ","Wednesday:	1 pm to 6 pm","Thursday:	1 pm to 4 pm"
c@gmail.com,28.5383355,-81.3792365,Florida,Orlando,"3808 E Colonial Dr, Orlando, FL 32803, Florida",Eyes,Doctor Alejandro Cordero,9994 5545,"English, Spanish",../static/doctor1.png,4.7,4672,2020,11,27,04:40:00,"Sunday:	1 pm to 6 pm ","Monday:	1 pm to 4 pm ","Wednesday:	1 pm to 6 pm","Thursday:	1 pm to 4 pm"
d@gmail.com,28.5383355,-81.3792365,Florida,Orlando,"3808 E Colonial Dr, Orlando, FL 32803, Florida",Eyes,Doctor Roberto Kali,9994 5545,"English, Spanish",../static/doctor5.png,4.7,4672,2020,11,27,04:40:00,"Sunday:	1 pm to 6 pm ","Monday:	1 pm to 4 pm ","Wednesday:	1 pm to 6 pm","Thursday:	1 pm to 4 pm"
